,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson1
Waterford Township,10684,19,0,2,1,16,170,39,122,9,0
Wayne Township,54899,34,0,3,18,13,1173,144,964,65,0
Weehawken Township,12596,19,0,0,12,7,266,48,195,23,1
Wenonah,2286,0,0,0,0,0,21,5,16,0,0
Westampton Township,8842,9,0,1,4,4,163,38,120,5,1
West Amwell Township,3853,4,0,0,0,4,42,13,29,0,0
West Caldwell Township,10795,1,0,0,1,0,87,17,67,3,0
West Cape May,1027,1,0,0,0,1,27,10,17,0,0
West Deptford Township,21749,20,0,5,7,8,445,101,318,26,0
Westfield,30417,10,0,0,3,7,334,46,279,9,1
West Long Branch,8124,4,0,0,3,1,195,39,153,3,0
West Milford Township,25936,19,0,1,1,17,304,100,196,8,2
West New York,49873,185,0,1,92,92,603,215,322,66,5
West Orange,46361,77,1,2,43,31,797,201,518,78,1
Westville,4302,20,0,2,8,10,161,48,103,10,0
West Wildwood,605,2,0,0,0,2,29,9,20,0,0
West Windsor Township,27255,14,0,1,6,7,384,46,321,17,0
Westwood,10944,13,0,0,0,13,63,10,52,1,0
Wharton,6544,7,0,1,3,3,153,31,116,6,2
Wildwood,5343,115,1,6,47,61,741,232,500,9,0
Wildwood Crest,3281,12,0,0,4,8,182,37,145,0,0
Willingboro Township,31734,109,2,18,40,49,644,241,382,21,2
Winfield Township,1476,1,0,0,0,1,6,1,5,0,0
Winslow Township,39630,147,2,6,32,107,634,188,417,29,7
Woodbridge Township,99915,127,1,8,52,66,2538,371,2030,137,6
Woodbury,10208,29,0,1,16,12,423,77,332,14,3
Woodbury Heights,3065,6,0,1,4,1,109,16,90,3,0
Woodcliff Lake,5749,2,0,1,0,1,46,9,37,0,0
Woodland Park,11858,7,0,0,2,5,255,58,184,13,0
Woodlynne,2988,21,1,1,5,14,180,74,87,19,1
Wood-Ridge,7651,4,1,1,0,2,63,16,37,10,0
Woodstown,3517,10,0,1,2,7,41,11,29,1,0
Woolwich Township,10234,7,0,1,1,5,95,32,59,4,0
Wyckoff Township,16752,4,0,0,1,3,124,47,75,2,0
