Table 8,,,,,,,,,,,
NEW JERSEY,,,,,,,,,,,
Offenses Known to Law Enforcement,,,, ,,,,,,,
"by City, 2013",,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
West Cape May,1022,1,0,0,0,1,27,8,18,1,0
West Deptford Township,21497,7,0,1,4,2,437,93,318,26,0
Westfield,30770,12,0,4,5,3,248,58,181,9,0
West Long Branch,8660,8,0,0,4,4,193,59,127,7,0
West Milford Township,26095,24,0,4,3,17,277,98,174,5,1
West New York,52102,161,2,12,58,89,518,135,344,39,0
West Orange,46794,79,1,1,44,33,685,152,481,52,1
Westville,4247,11,0,0,5,6,187,60,112,15,0
West Wildwood,589,3,0,0,1,2,23,6,17,0,0
West Windsor Township,28557,17,0,1,9,7,441,37,390,14,1
Westwood,11056,2,0,0,0,2,57,12,44,1,0
Wharton,6593,6,0,0,2,4,89,6,83,0,0
Wildwood,5228,90,0,3,30,57,671,147,515,9,0
Wildwood Crest,3222,6,0,0,1,5,168,46,122,0,0
Willingboro Township,31914,119,1,13,50,55,688,189,475,24,9
Winfield Township,1489,0,0,0,0,0,11,5,5,1,0
Winslow Township,39212,93,0,3,21,69,599,201,376,22,2
Woodbridge Township,100568,135,1,3,66,65,2042,296,1622,124,7
Woodbury,10073,45,1,2,20,22,507,109,385,13,0
Woodbury Heights,3026,3,0,0,3,0,92,20,69,3,0
Woodcliff Lake,5864,2,0,1,1,0,51,8,38,5,0
Woodland Park,12636,3,0,0,0,3,158,27,124,7,0
Woodlynne,2967,15,0,0,8,7,66,8,49,9,0
Wood-Ridge,8632,1,0,0,0,1,54,10,42,2,0
Woodstown,3519,7,0,1,2,4,43,9,32,2,1
Woolwich Township,11167,1,0,0,0,1,53,17,36,0,0
Wyckoff Township,16949,0,0,0,0,0,79,10,68,1,0
